Requirement,T,N,U
1,65,465,5990
2,76,469,5975
3,1,531,5988
4,1,622,5897
5,59,576,5885
6,20,474,6026
7,43,438,6039
8,42,600,5878
9,3,608,5909
10,1,583,5936
11,1,622,5897
12,21,605,5894
13,31,573,5916
14,44,629,5847
15,0,627,5893
16,0,618,5902
17,10,608,5902
18,12,617,5891
19,9,632,5879
20,0,664,5856
21,0,658,5862
