gold,Program,MethodType,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU,CompleteCallersCallees,classGold
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
T,chess,Leaf,Low,-1,-1,Low,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
T,chess,Leaf,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
T,chess,Leaf,Low,-1,-1,Low,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
T,chess,Leaf,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Medium,Low,-1,Medium,-1,-1,-1,-1,-1,-1,-1,0,Trace,
N,chess,Leaf,-1,Medium,Low,-1,Medium,-1,-1,-1,-1,-1,-1,-1,0,NoTrace,
N,chess,Leaf,-1,Medium,Low,-1,Medium,-1,-1,-1,-1,-1,-1,-1,0,NoTrace,
N,chess,Leaf,-1,Medium,Low,-1,Medium,-1,-1,-1,-1,-1,-1,-1,0,Trace,
N,chess,Leaf,-1,Medium,Low,-1,Medium,-1,-1,-1,-1,-1,-1,-1,0,NoTrace,
T,chess,Leaf,Medium,-1,Low,Medium,Low,-1,-1,-1,-1,-1,-1,-1,0,Trace,
T,chess,Leaf,Medium,-1,Low,Medium,-1,-1,-1,-1,-1,-1,-1,-1,0,Trace,
N,chess,Leaf,-1,Medium,Low,-1,Medium,-1,-1,-1,-1,-1,-1,-1,0,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
T,chess,Leaf,Low,-1,-1,Low,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
T,chess,Leaf,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
T,chess,Leaf,Low,-1,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,-1,Low,-1,-1,-1,-1,-1,-1,1,NoTrace,
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
T,chess,Inner,Low,-1,-1,Low,-1,-1,-1,-1,Low,-1,-1,-1,0,Trace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,-1,Low,-1,-1,-1,0,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,-1,Low,-1,-1,-1,0,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,-1,Low,-1,-1,-1,0,Trace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,-1,Low,-1,-1,-1,0,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,-1,Low,-1,-1,-1,0,Trace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,-1,Low,-1,-1,-1,0,Trace,
N,chess,Inner,-1,Low,-1,-1,Low,-1,-1,-1,Low,-1,-1,-1,0,NoTrace,
T,chess,Leaf,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,Trace,
N,chess,Leaf,-1,Low,-1,-1,Low,-1,-1,-1,-1,-1,-1,-1,1,NoTrace,
N,chess,Inner,-1,Low,-1,-1,Medium,-1,-1,Medium,Medium,-1,Medium,Medium,0,Trace,
