gold,Program,MethodType,CallersT,CallersN,CallersU,CallersCallersT,CallersCallersN,CallersCallersU,CalleesT,CalleesN,CalleesU,CalleesCalleesT,CalleesCalleesN,CalleesCalleesU
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
T,chess,Leaf,Low,-1,-1,Low,Low,-1,-1,-1,-1,-1,-1,-1
T,chess,Leaf,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Medium,Low,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Medium,Low,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Medium,Low,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Medium,Low,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Medium,Low,-1,Medium,-1,-1,-1,-1,-1,-1,-1
T,chess,Leaf,Medium,-1,Low,Medium,Low,-1,-1,-1,-1,-1,-1,-1
T,chess,Leaf,Medium,-1,Low,Medium,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Medium,Low,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
T,chess,Leaf,Low,-1,-1,Low,Low,-1,-1,-1,-1,-1,-1,-1
T,chess,Leaf,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1,-1
N,chess,Leaf,-1,Low,-1,-1,Medium,-1,-1,-1,-1,-1,-1,-1
