methodTrace,T,N
[1-10000],89,2513
[10001-20000],38,1294
[20001-30000],35,1792
[30001-40000],79,2720
[40001-50000],57,985
[50001-60000],104,1201
[60001-70000],28,803
[70001-80000],9,539
[80001-90000],0,372
[90001-100000],0,0
[100001-110000],0,0
[110001-120000],0,0
[120001-130000],0,0
[130001-136920],0,0
